Codigo;Descripcion_ES;Descripcion_EU
132120;CONSTRUCCION DE TRACTORES AGRICOLAS;NEKAZAL TRAKTOREGINTZA 
132210;CONSTRUCCION DE MAQUINAS PARA TRABAJAR LOS METALES;METALAK LANTZEKO MAKINAGINTZA 
132220;CONSTRUCCION DE MAQUINAS PARA TRABAJAR LA MADERA Y EL CORCHO;ZUR KORTXOAK LANTZEKO MAKINAGINTZA 
132230;FABRICACION DE UTILES, EQUIPOS, PIEZAS Y ACCESORIOS PARA MAQUINAS-HERRAMIENTAS;MAKINA ERREMINTETARAKO LANABES, EKIPO, PIEZA ETA ALDAGAILUEN FABRIKAZIOA 
132310;CONSTRUCCION DE MAQUINAS TEXTILES Y SUS ACCESORIOS;EHUN MAKINAGINTZA ETA BERAIEN ALDAGAILUGINTZA 
132320;CONSTRUCCION DE MAQUINAS PARA LAS INDUSTRIAS DEL CUERO Y CALZADO;LARRUGINTZA ETA ZAPATAGINTZARAKO MAKINAGINTZA 
132330;FABRICACION DE MAQUINAS DE COSER;JOSTEKO MAKINEN FABRIKAZIOA 
132410;CONSTRUCCION DE MAQUINAS PARA LAS INDUSTRIAS ALIMENTICIAS, DE BEBIDAS Y TABACO;ELIKADURAGINTZA, EDARIGINTZA ETA TABAKOGINTZARAKO MAKINAK EGITEA 
132420;CONSTRUCCION DE MAQUINAS PARA LA INDUSTRIA QUIMICA;KIMIKAGINTZARAKO MAKINAK EGITEA 
132430;CONSTRUCCION MAQUINAS PARA LAS INDUST.DE TRANSFORMACION DEL CAUCHO Y MAT.PLAST;KAUTXUAREN ETA PLASTIKOGAIEN TRANSFORMAGINTZARAKO MAKINAK EGITEA 
132510;CONSTRUCCION DE MAQUINAS Y EQUIPO PARA MINERIA, CONSTRUCCION Y OBRAS PUBLICAS;MEATZARITZA, ERAIKINTZA ETA HERRILANETARAKO MAKINA ETA EKIPOGINTZA 
132520;CONSTRUCCION MAQUINAS Y EQUIPO PARA LAS INDUSTRIAS DE PROD.MINERALES NO METAL.;METALEZKOAK EZ DIREN MEA EKOIZKINGINTZARAKO MAKINA EKIPOAK EGITEA 
132530;CONSTRUCCION DE MAQUINAS Y EQUIPO PARA LA SIDERURGIA Y FUNDICION;BURDINAGINTZA ETA GALDAKETARAKO MAKINA EKIPOAK EGITEA 
132540;CONSTRUCCION DE MAQUINARIA DE ELEVACION Y MANIPULACION;JASOKETA ETA ESKUZTAPENERAKO MAKINERIAGINTZA 
132610;FABRICACION DE ENGRANAJES, CADENAS TRANSMISION Y OTROS ORGANOS DE TRANSMISION;ENGRANAJE, TRANSMISIO KATEEN ETA BESTELAKO TRANSMISIOGAILUEN FABRIKAZIOA 
132620;FABRICACION DE RODAMIENTOS;ERRODAMENDUEN FABRIKAZIOA 
132910;CONSTRUCCION DE MAQUINAS PARA LAS INDUSTRIAS DEL PAPEL, CARTON Y ARTES GRAFICA;PAPERGINTZA, KARTOIGINTZA ETA ARTE GRAFIKOETARAKO MAKINAK EGITEA 
132920;CONSTRUCCION DE MAQUINAS DE LAVADO Y LIMPIEZA EN SECO;LEHORREKO IKUZKETA ETA GARBIKETARAKO MAKINAGINTZA 
132930;CONSTRUCCION DE MOTORES Y TURBINAS (EXCEPTO LOS DESTINADOS AL TRANSPORTE);MOTOREGINTZA ETA TURBINAGINTZA (GARRAIORAKOAK DIRENAK EZIK) 
132940;CONSTRUCCION DE MAQUINARIA PARA LA MANIPULACION DE FLUIDOS;JARIAKINEN ESKUZTAPENERAKO MAKINERIAGINTZA 
132990;CONSTRUCCION DE OTRAS MAQUINAS Y EQUIPO MECANICO N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN MAKINAGINTZA ETA EKIPOGINTZA 
133000;CONSTRUCCION DE MAQUINAS DE OFICINA Y ORDENADORES (INCLUIDA SU INSTALACION);BULEGOKO MAKINAGINTZA ETA ORDENAGAILUGINTZA (BERAIEN INSTALAZIOA BARNE) 
134100;FABRICACION DE HILOS Y CABLES ELECTRICOS;HARI ETA KABLE ELEKTRIKOAK EGITEA 
134200;FABRICACION DE MATERIAL ELECTRICO DE UTILIZACION Y EQUIPAMIENTO;ERABILPEN ETA EKIPAMENDURAKO MATERIAL ELEKTRIKOGINTZA 
134300;FABRICACION DE PILAS Y ACUMULADORES;PILA ETA METAGAILUEN FABRIKAZIOA 
134400;FABRICACION CONTADORES Y APARATOS DE MEDIDA, CONTROL Y VERIFICACION ELECTRICOS;NEURKETA, KONTROL ETA BEGIZTAPENERAKO ZENBAKAILU ETA APARATU ELEKTRIKOEN FABRI 
